City_ID,City,Cloudiness,Country,Datetime,Humidity,Lat,Lng,Max Temp,Wind Speed
146,juneau,90,US,1639906517,96,58.3019,-134.4197,-2.66,0.0
147,kyra,100,RU,1639906746,72,49.5776,111.9753,-10.78,1.41
148,kuching,40,MY,1639906747,94,1.55,110.3333,24.12,2.57
149,ust-kuyga,100,RU,1639906748,98,70.0167,135.6,-33.24,1.54
150,aklavik,91,CA,1639906809,99,68.2191,-135.0107,-21.54,1.73
151,portland,90,US,1639906202,94,45.5234,-122.6762,3.54,0.0
152,rzhev,100,RU,1639906810,89,56.2624,34.3282,-0.07,5.66
153,biltine,6,TD,1639906811,18,14.5333,20.9167,26.97,2.57
154,gasa,2,PS,1639906702,46,31.5,34.4667,17.71,8.8
155,azanka,100,RU,1639906812,94,58.0401,64.7893,-7.74,3.27
158,tevaitoa,100,PF,1639906814,74,-16.7833,-151.5,26.77,4.47
159,aripuana,100,BR,1639906815,100,-9.1667,-60.6333,22.3,0.94
160,nemuro,26,JP,1639906815,50,43.3236,145.575,-9.76,3.76
161,vallenar,74,CL,1639906816,80,-28.5708,-70.7581,16.13,1.09
162,cavalcante,81,BR,1639906817,86,-13.7975,-47.4583,22.31,0.4
163,la cruz,70,MX,1639906818,90,23.9167,-106.9,14.7,0.45
165,ahipara,29,NZ,1639906819,84,-35.1667,173.1667,15.06,1.61
166,eganville,60,CA,1639906820,84,45.5334,-77.0994,-10.37,3.64
167,taoudenni,37,ML,1639906821,14,22.6783,-3.9836,25.61,5.15
168,salalah,20,OM,1639906821,50,17.0151,54.0924,27.05,4.12
169,port hawkesbury,90,CA,1639906822,78,45.6169,-61.3485,-0.46,0.45
170,kapaa,75,US,1639906800,76,22.0752,-159.319,24.18,2.68
171,broken hill,17,AU,1639906823,23,-31.95,141.4333,27.84,9.77
172,gamba,97,GA,1639906824,67,-2.65,10.0,29.43,2.59
173,valley city,90,US,1639906571,85,46.9233,-98.0032,-11.45,7.72
174,kharp,96,RU,1639906825,99,66.8014,65.8081,-32.42,1.74
176,mount isa,90,AU,1639906827,78,-20.7333,139.5,24.87,11.32
177,rocha,0,UY,1639906827,81,-34.4833,-54.3333,17.57,4.3
178,santa rosa,88,PH,1639906828,91,14.3122,121.1114,26.73,4.86
179,mountain home,1,US,1639906829,100,43.133,-115.6912,-2.59,7.72
180,ulaanbaatar,40,MN,1639906830,49,47.9077,106.8832,-5.93,1.0
181,guaraniacu,20,BR,1639906830,76,-25.1008,-52.8781,18.46,2.63
182,khatanga,99,RU,1639906831,94,71.9667,102.5,-28.31,3.72
183,komsomolskiy,100,UZ,1639906832,42,40.4272,71.7189,7.64,0.0
184,chumikan,12,RU,1639906833,89,54.7183,135.315,-25.85,7.27
186,mbandaka,92,CD,1639906834,57,0.0487,18.2603,30.16,2.08
187,port hueneme,1,US,1639906835,40,34.1478,-119.1951,14.58,2.57
188,kavieng,100,PG,1639906836,77,-2.5744,150.7967,28.25,4.29
189,uyuni,90,BO,1639906836,68,-20.4597,-66.825,10.38,2.87
190,talnakh,91,RU,1639906837,93,69.4865,88.3972,-35.68,0.97
191,new norfolk,56,AU,1639906838,54,-42.7826,147.0587,13.72,2.24
192,balabac,100,PH,1639906839,79,7.9868,117.0645,27.45,1.47
193,tazovskiy,57,RU,1639906840,99,67.4667,78.7,-40.57,2.41
194,de-kastri,6,RU,1639906840,96,51.4667,140.7833,-23.75,1.86
195,peachland,70,CA,1639906841,79,49.7665,-119.7357,-1.19,1.38
196,sebaco,8,NI,1639906842,95,12.8532,-86.0963,19.08,2.31
197,kargat,100,RU,1639906843,94,55.1956,80.2811,-10.79,5.6
198,belyy yar,0,RU,1639906843,78,53.6039,91.3903,-5.06,3.0
199,bathsheba,40,BB,1639906844,78,13.2167,-59.5167,26.34,10.29
200,hualmay,61,PE,1639906905,90,-11.0964,-77.6139,18.7,3.2
201,husavik,100,IS,1639906906,85,66.0449,-17.3389,2.95,6.13
202,aswan,0,EG,1639906700,41,24.0934,32.907,16.61,3.09
203,albert lea,90,US,1639906907,92,43.648,-93.3683,-7.94,4.12
204,bengkulu,100,ID,1639906908,83,-3.8004,102.2655,26.82,4.14
205,severnyy,90,RU,1639906909,93,50.677,36.5532,-0.98,8.0
206,mount gambier,40,AU,1639906910,51,-37.8333,140.7667,14.95,8.23
207,fairview,90,US,1639906910,89,40.8126,-73.999,7.37,3.09
208,sao filipe,98,CV,1639906911,70,14.8961,-24.4956,23.77,4.2
209,tuatapere,61,NZ,1639906913,76,-46.1333,167.6833,18.79,5.63
211,bardiyah,1,LY,1639906914,47,31.7561,25.0865,12.64,10.24
212,presidencia roque saenz pena,100,AR,1639906915,52,-26.7852,-60.4388,22.88,1.99
213,carnarvon,5,AU,1639906915,61,-24.8667,113.6333,27.04,10.29
214,brae,50,GB,1639906916,71,60.3964,-1.353,3.95,5.22
215,calamar,100,CO,1639906917,87,10.2511,-74.9146,24.97,1.83
216,ribeira grande,75,PT,1639906918,88,38.5167,-28.7,15.22,14.4
217,vanavara,26,RU,1639906919,99,60.34,102.2797,-40.04,0.76
218,grindsted,75,DK,1639906919,81,55.754,8.9123,8.28,8.23
219,bilibino,100,RU,1639906920,99,68.0546,166.4372,-22.93,1.2
221,jose de freitas,100,BR,1639906921,84,-4.7564,-42.5756,26.53,1.74
222,provideniya,100,RU,1639906922,96,64.3833,-173.3,-9.55,4.83
223,sur,89,OM,1639906923,47,22.5667,59.5289,24.72,3.63
224,mpika,100,ZM,1639906924,88,-11.8343,31.4529,18.88,0.94
226,jamestown,90,US,1639906925,94,42.097,-79.2353,-1.06,2.68
229,ler,70,SS,1639906927,18,8.3018,30.1418,34.19,3.23
230,mangrol,16,IN,1639906928,36,21.1167,70.1167,25.98,1.44
231,dauphin,90,CA,1639906929,78,51.1494,-100.0502,-14.92,3.09
232,laela,100,TZ,1639906930,72,-8.5667,32.05,21.85,0.68
233,marawi,76,PH,1639906931,98,7.9986,124.2928,23.14,1.6
234,chuy,0,UY,1639906931,73,-33.6971,-53.4616,19.49,4.55
235,deputatskiy,99,RU,1639906932,98,69.3,139.9,-36.81,1.68
236,los llanos de aridane,20,ES,1639906808,40,28.6585,-17.9182,19.86,2.06
238,bambous virieux,40,MU,1639906934,62,-20.3428,57.7575,30.14,4.12
239,lebu,45,CL,1639906935,91,-37.6167,-73.65,12.36,7.36
240,dudinka,91,RU,1639906936,100,69.4058,86.1778,-41.82,0.7
241,cherskiy,100,RU,1639906936,96,68.75,161.3,-29.58,0.86
242,yeppoon,0,AU,1639906937,73,-23.1333,150.7333,26.88,4.66
245,maceio,0,BR,1639906939,94,-9.6658,-35.7353,24.69,2.06
247,pisco,20,PE,1639906940,94,-13.7,-76.2167,17.23,1.54
248,opotiki,7,NZ,1639906941,90,-38.0833,177.2833,14.89,1.78
249,gewane,19,ET,1639906942,32,10.1664,40.6453,30.92,3.55
250,nueva germania,0,PY,1639907003,72,-23.9,-56.5667,25.84,2.09
251,codrington,64,AU,1639907004,57,-38.2667,141.9667,13.52,7.22
252,baft,100,IR,1639907004,34,29.234,56.6057,13.55,4.41
253,alugan,55,PH,1639907005,86,12.2188,125.4808,26.81,4.3
254,goderich,99,CA,1639907003,80,43.7501,-81.7165,-0.05,6.17
255,cayenne,40,GF,1639907006,85,4.9333,-52.3333,26.72,0.89
256,lalpur,11,IN,1639907007,12,22.2,69.9667,27.6,5.08
257,lazaro cardenas,98,MX,1639907008,81,17.9583,-102.2,23.33,1.11
258,nador,40,MA,1639907008,77,35.174,-2.9287,16.14,2.06
260,scarborough,99,GB,1639907010,94,54.2797,-0.4044,5.65,0.89
261,lavrentiya,100,RU,1639907010,96,65.5833,-171.0,-8.4,4.08
263,miri,40,MY,1639907012,70,4.4148,114.0089,30.08,2.06
264,toamasina,40,MG,1639907012,66,-18.1667,49.3833,31.0,5.66
265,aanekoski,95,FI,1639907013,100,62.6946,25.818,-0.64,4.45
266,ormara,3,PK,1639907014,59,25.2088,64.6357,21.38,2.62
267,sibenik,27,HR,1639907015,34,43.7272,15.9058,11.81,2.18
268,sampit,100,ID,1639907016,91,-2.5333,112.95,26.1,1.19
269,jalu,98,LY,1639907017,81,29.0331,21.5482,10.14,8.52
270,praia,90,CV,1639907018,94,14.9215,-23.5087,21.3,7.72
271,tocopilla,100,CL,1639907018,80,-22.092,-70.1979,19.08,1.77
272,mozarlandia,100,BR,1639907019,89,-14.7447,-50.5706,23.96,0.21
273,longyearbyen,90,SJ,1639906875,86,78.2186,15.6401,-4.09,3.09
274,berlevag,93,NO,1639907020,84,70.8578,29.0864,-3.27,6.97
